PLAIN_CONFIGURATION,MATCHER,NRACTIONS,NRROOTS,NR_INSERT,NR_DELETE,NR_UPDATE,NR_MOVE,NR_TREEINSERT,NR_TREEDELETE,TIME,NROPTIONS,TIMEOUT,bu_minsim,bu_minsize,st_minprio,st_priocalc,cd_labsim,cd_maxleaves,cd_structsim1,cd_structsim2,xy_minsim,
SimpleGumtree-st_minprio-1-st_priocalc-size,SimpleGumtree,309,null,53,124,72,60,0,0,75,0,0,,,1,size,,,,,,
SimpleGumtree-st_minprio-2-st_priocalc-size,SimpleGumtree,408,null,114,185,80,29,0,0,58,0,0,,,2,size,,,,,,
SimpleGumtree-st_minprio-3-st_priocalc-size,SimpleGumtree,436,null,133,204,79,20,0,0,57,0,0,,,3,size,,,,,,
SimpleGumtree-st_minprio-4-st_priocalc-size,SimpleGumtree,430,null,127,198,86,19,0,0,43,0,0,,,4,size,,,,,,
SimpleGumtree-st_minprio-5-st_priocalc-size,SimpleGumtree,437,null,131,202,86,18,0,0,15,0,0,,,5,size,,,,,,
SimpleGumtree-st_minprio-1-st_priocalc-height,SimpleGumtree,406,null,114,185,80,27,0,0,51,0,0,,,1,height,,,,,,
SimpleGumtree-st_minprio-2-st_priocalc-height,SimpleGumtree,437,null,131,202,86,18,0,0,39,0,0,,,2,height,,,,,,
SimpleGumtree-st_minprio-3-st_priocalc-height,SimpleGumtree,540,null,195,266,78,1,0,0,20,0,0,,,3,height,,,,,,
SimpleGumtree-st_minprio-4-st_priocalc-height,SimpleGumtree,540,null,195,266,78,1,0,0,20,0,0,,,4,height,,,,,,
SimpleGumtree-st_minprio-5-st_priocalc-height,SimpleGumtree,622,null,238,309,75,0,0,0,20,0,0,,,5,height,,,,,,
HybridGumtree-bu_minsize-100-st_minprio-1-st_priocalc-size,HybridGumtree,223,null,8,79,86,50,0,0,447,0,0,,100,1,size,,,,,,
HybridGumtree-bu_minsize-100-st_minprio-2-st_priocalc-size,HybridGumtree,228,null,13,84,95,36,0,0,536,0,0,,100,2,size,,,,,,
HybridGumtree-bu_minsize-100-st_minprio-3-st_priocalc-size,HybridGumtree,228,null,13,84,95,36,0,0,287,0,0,,100,3,size,,,,,,
HybridGumtree-bu_minsize-100-st_minprio-4-st_priocalc-size,HybridGumtree,228,null,10,81,101,36,0,0,257,0,0,,100,4,size,,,,,,
HybridGumtree-bu_minsize-100-st_minprio-5-st_priocalc-size,HybridGumtree,228,null,10,81,101,36,0,0,250,0,0,,100,5,size,,,,,,
HybridGumtree-bu_minsize-200-st_minprio-1-st_priocalc-size,HybridGumtree,223,null,8,79,86,50,0,0,952,0,0,,200,1,size,,,,,,
HybridGumtree-bu_minsize-200-st_minprio-2-st_priocalc-size,HybridGumtree,228,null,13,84,95,36,0,0,917,0,0,,200,2,size,,,,,,
HybridGumtree-bu_minsize-200-st_minprio-3-st_priocalc-size,HybridGumtree,228,null,13,84,95,36,0,0,911,0,0,,200,3,size,,,,,,
HybridGumtree-bu_minsize-200-st_minprio-4-st_priocalc-size,HybridGumtree,228,null,10,81,101,36,0,0,1019,0,0,,200,4,size,,,,,,
HybridGumtree-bu_minsize-200-st_minprio-5-st_priocalc-size,HybridGumtree,228,null,10,81,101,36,0,0,1021,0,0,,200,5,size,,,,,,
HybridGumtree-bu_minsize-300-st_minprio-1-st_priocalc-size,HybridGumtree,223,null,8,79,86,50,0,0,1083,0,0,,300,1,size,,,,,,
HybridGumtree-bu_minsize-300-st_minprio-2-st_priocalc-size,HybridGumtree,228,null,13,84,95,36,0,0,886,0,0,,300,2,size,,,,,,
HybridGumtree-bu_minsize-300-st_minprio-3-st_priocalc-size,HybridGumtree,228,null,13,84,95,36,0,0,1044,0,0,,300,3,size,,,,,,
HybridGumtree-bu_minsize-300-st_minprio-4-st_priocalc-size,HybridGumtree,228,null,10,81,101,36,0,0,880,0,0,,300,4,size,,,,,,
HybridGumtree-bu_minsize-300-st_minprio-5-st_priocalc-size,HybridGumtree,228,null,10,81,101,36,0,0,925,0,0,,300,5,size,,,,,,
HybridGumtree-bu_minsize-400-st_minprio-1-st_priocalc-size,HybridGumtree,223,null,8,79,86,50,0,0,1606,0,0,,400,1,size,,,,,,
HybridGumtree-bu_minsize-400-st_minprio-2-st_priocalc-size,HybridGumtree,228,null,13,84,95,36,0,0,1074,0,0,,400,2,size,,,,,,
