Frequent_config,count
ClassicGumtree-bu_minsim-0.1-bu_minsize-1000-st_minprio-1-st_priocalc-size,28896
ClassicGumtree-bu_minsim-0.1-bu_minsize-1100-st_minprio-1-st_priocalc-size,28886
ClassicGumtree-bu_minsim-0.1-bu_minsize-900-st_minprio-1-st_priocalc-size,28869
ClassicGumtree-bu_minsim-0.1-bu_minsize-1200-st_minprio-1-st_priocalc-size,28859
ClassicGumtree-bu_minsim-0.1-bu_minsize-800-st_minprio-1-st_priocalc-size,28804
ClassicGumtree-bu_minsim-0.1-bu_minsize-1300-st_minprio-1-st_priocalc-size,28778
ClassicGumtree-bu_minsim-0.1-bu_minsize-700-st_minprio-1-st_priocalc-size,28722
ClassicGumtree-bu_minsim-0.1-bu_minsize-1400-st_minprio-1-st_priocalc-size,28673
ClassicGumtree-bu_minsim-0.1-bu_minsize-600-st_minprio-1-st_priocalc-size,28621
ClassicGumtree-bu_minsim-0.1-bu_minsize-1500-st_minprio-1-st_priocalc-size,28561
ClassicGumtree-bu_minsim-0.2-bu_minsize-1200-st_minprio-1-st_priocalc-size,28525
ClassicGumtree-bu_minsim-0.2-bu_minsize-1300-st_minprio-1-st_priocalc-size,28519
ClassicGumtree-bu_minsim-0.2-bu_minsize-1400-st_minprio-1-st_priocalc-size,28503
ClassicGumtree-bu_minsim-0.2-bu_minsize-1100-st_minprio-1-st_priocalc-size,28498
ClassicGumtree-bu_minsim-0.2-bu_minsize-1000-st_minprio-1-st_priocalc-size,28486
ClassicGumtree-bu_minsim-0.1-bu_minsize-500-st_minprio-1-st_priocalc-size,28479
ClassicGumtree-bu_minsim-0.2-bu_minsize-1500-st_minprio-1-st_priocalc-size,28451
ClassicGumtree-bu_minsim-0.2-bu_minsize-900-st_minprio-1-st_priocalc-size,28439
ClassicGumtree-bu_minsim-0.1-bu_minsize-1600-st_minprio-1-st_priocalc-size,28405
ClassicGumtree-bu_minsim-0.2-bu_minsize-1600-st_minprio-1-st_priocalc-size,28388
ClassicGumtree-bu_minsim-0.2-bu_minsize-800-st_minprio-1-st_priocalc-size,28373
HybridGumtree-bu_minsize-1000-st_minprio-1-st_priocalc-size,28351
HybridGumtree-bu_minsize-900-st_minprio-1-st_priocalc-size,28349
HybridGumtree-bu_minsize-800-st_minprio-1-st_priocalc-size,28349
HybridGumtree-bu_minsize-700-st_minprio-1-st_priocalc-size,28346
HybridGumtree-bu_minsize-1100-st_minprio-1-st_priocalc-size,28327
HybridGumtree-bu_minsize-600-st_minprio-1-st_priocalc-size,28322
ClassicGumtree-bu_minsim-0.2-bu_minsize-1700-st_minprio-1-st_priocalc-size,28303
ClassicGumtree-bu_minsim-0.1-bu_minsize-400-st_minprio-1-st_priocalc-size,28290
HybridGumtree-bu_minsize-500-st_minprio-1-st_priocalc-size,28287
HybridGumtree-bu_minsize-1200-st_minprio-1-st_priocalc-size,28285
ClassicGumtree-bu_minsim-0.3-bu_minsize-1200-st_minprio-1-st_priocalc-size,28279
ClassicGumtree-bu_minsim-0.2-bu_minsize-700-st_minprio-1-st_priocalc-size,28278
