PLAIN_CONFIGURATION,MATCHER,NRACTIONS,NRROOTS,NR_INSERT,NR_DELETE,NR_UPDATE,NR_MOVE,NR_TREEINSERT,NR_TREEDELETE,TIME,NROPTIONS,TIMEOUT,bu_minsim,bu_minsize,st_minprio,st_priocalc,cd_labsim,cd_maxleaves,cd_structsim1,cd_structsim2,xy_minsim,
SimpleGumtree-st_minprio-1-st_priocalc-size,SimpleGumtree,37,null,37,0,0,0,0,0,1,0,0,,,1,size,,,,,,
SimpleGumtree-st_minprio-2-st_priocalc-size,SimpleGumtree,37,null,37,0,0,0,0,0,1,0,0,,,2,size,,,,,,
SimpleGumtree-st_minprio-3-st_priocalc-size,SimpleGumtree,37,null,37,0,0,0,0,0,1,0,0,,,3,size,,,,,,
SimpleGumtree-st_minprio-4-st_priocalc-size,SimpleGumtree,37,null,37,0,0,0,0,0,1,0,0,,,4,size,,,,,,
SimpleGumtree-st_minprio-5-st_priocalc-size,SimpleGumtree,37,null,37,0,0,0,0,0,0,0,0,,,5,size,,,,,,
SimpleGumtree-st_minprio-1-st_priocalc-height,SimpleGumtree,37,null,37,0,0,0,0,0,0,0,0,,,1,height,,,,,,
SimpleGumtree-st_minprio-2-st_priocalc-height,SimpleGumtree,37,null,37,0,0,0,0,0,0,0,0,,,2,height,,,,,,
SimpleGumtree-st_minprio-3-st_priocalc-height,SimpleGumtree,37,null,37,0,0,0,0,0,1,0,0,,,3,height,,,,,,
SimpleGumtree-st_minprio-4-st_priocalc-height,SimpleGumtree,37,null,37,0,0,0,0,0,1,0,0,,,4,height,,,,,,
SimpleGumtree-st_minprio-5-st_priocalc-height,SimpleGumtree,37,null,37,0,0,0,0,0,1,0,0,,,5,height,,,,,,
HybridGumtree-bu_minsize-100-st_minprio-1-st_priocalc-size,HybridGumtree,37,null,37,0,0,0,0,0,0,0,0,,100,1,size,,,,,,
HybridGumtree-bu_minsize-100-st_minprio-2-st_priocalc-size,HybridGumtree,37,null,37,0,0,0,0,0,0,0,0,,100,2,size,,,,,,
HybridGumtree-bu_minsize-100-st_minprio-3-st_priocalc-size,HybridGumtree,37,null,37,0,0,0,0,0,0,0,0,,100,3,size,,,,,,
HybridGumtree-bu_minsize-100-st_minprio-4-st_priocalc-size,HybridGumtree,37,null,37,0,0,0,0,0,1,0,0,,100,4,size,,,,,,
HybridGumtree-bu_minsize-100-st_minprio-5-st_priocalc-size,HybridGumtree,37,null,37,0,0,0,0,0,1,0,0,,100,5,size,,,,,,
HybridGumtree-bu_minsize-200-st_minprio-1-st_priocalc-size,HybridGumtree,37,null,37,0,0,0,0,0,1,0,0,,200,1,size,,,,,,
HybridGumtree-bu_minsize-200-st_minprio-2-st_priocalc-size,HybridGumtree,37,null,37,0,0,0,0,0,1,0,0,,200,2,size,,,,,,
HybridGumtree-bu_minsize-200-st_minprio-3-st_priocalc-size,HybridGumtree,37,null,37,0,0,0,0,0,1,0,0,,200,3,size,,,,,,
HybridGumtree-bu_minsize-200-st_minprio-4-st_priocalc-size,HybridGumtree,37,null,37,0,0,0,0,0,1,0,0,,200,4,size,,,,,,
HybridGumtree-bu_minsize-200-st_minprio-5-st_priocalc-size,HybridGumtree,37,null,37,0,0,0,0,0,0,0,0,,200,5,size,,,,,,
HybridGumtree-bu_minsize-300-st_minprio-1-st_priocalc-size,HybridGumtree,37,null,37,0,0,0,0,0,298,0,0,,300,1,size,,,,,,
HybridGumtree-bu_minsize-300-st_minprio-2-st_priocalc-size,HybridGumtree,37,null,37,0,0,0,0,0,183,0,0,,300,2,size,,,,,,
HybridGumtree-bu_minsize-300-st_minprio-3-st_priocalc-size,HybridGumtree,37,null,37,0,0,0,0,0,297,0,0,,300,3,size,,,,,,
HybridGumtree-bu_minsize-300-st_minprio-4-st_priocalc-size,HybridGumtree,37,null,37,0,0,0,0,0,189,0,0,,300,4,size,,,,,,
HybridGumtree-bu_minsize-300-st_minprio-5-st_priocalc-size,HybridGumtree,37,null,37,0,0,0,0,0,190,0,0,,300,5,size,,,,,,
HybridGumtree-bu_minsize-400-st_minprio-1-st_priocalc-size,HybridGumtree,37,null,37,0,0,0,0,0,364,0,0,,400,1,size,,,,,,
HybridGumtree-bu_minsize-400-st_minprio-2-st_priocalc-size,HybridGumtree,37,null,37,0,0,0,0,0,189,0,0,,400,2,size,,,,,,
HybridGumtree-bu_minsize-400-st_minprio-3-st_priocalc-size,HybridGumtree,37,null,37,0,0,0,0,0,364,0,0,,400,3,size,,,,,,
HybridGumtree-bu_minsize-400-st_minprio-4-st_priocalc-size,HybridGumtree,37,null,37,0,0,0,0,0,191,0,0,,400,4,size,,,,,,
HybridGumtree-bu_minsize-400-st_minprio-5-st_priocalc-size,HybridGumtree,37,null,37,0,0,0,0,0,190,0,0,,400,5,size,,,,,,
HybridGumtree-bu_minsize-500-st_minprio-1-st_priocalc-size,HybridGumtree,37,null,37,0,0,0,0,0,154,0,0,,500,1,size,,,,,,
HybridGumtree-bu_minsize-500-st_minprio-2-st_priocalc-size,HybridGumtree,37,null,37,0,0,0,0,0,190,0,0,,500,2,size,,,,,,
HybridGumtree-bu_minsize-500-st_minprio-3-st_priocalc-size,HybridGumtree,37,null,37,0,0,0,0,0,189,0,0,,500,3,size,,,,,,
HybridGumtree-bu_minsize-500-st_minprio-4-st_priocalc-size,HybridGumtree,37,null,37,0,0,0,0,0,190,0,0,,500,4,size,,,,,,
HybridGumtree-bu_minsize-500-st_minprio-5-st_priocalc-size,HybridGumtree,37,null,37,0,0,0,0,0,190,0,0,,500,5,size,,,,,,
HybridGumtree-bu_minsize-600-st_minprio-1-st_priocalc-size,HybridGumtree,37,null,37,0,0,0,0,0,190,0,0,,600,1,size,,,,,,
HybridGumtree-bu_minsize-600-st_minprio-2-st_priocalc-size,HybridGumtree,37,null,37,0,0,0,0,0,189,0,0,,600,2,size,,,,,,
HybridGumtree-bu_minsize-600-st_minprio-3-st_priocalc-size,HybridGumtree,37,null,37,0,0,0,0,0,189,0,0,,600,3,size,,,,,,
HybridGumtree-bu_minsize-600-st_minprio-4-st_priocalc-size,HybridGumtree,37,null,37,0,0,0,0,0,154,0,0,,600,4,size,,,,,,
HybridGumtree-bu_minsize-600-st_minprio-5-st_priocalc-size,HybridGumtree,37,null,37,0,0,0,0,0,251,0,0,,600,5,size,,,,,,
HybridGumtree-bu_minsize-700-st_minprio-1-st_priocalc-size,HybridGumtree,37,null,37,0,0,0,0,0,251,0,0,,700,1,size,,,,,,
HybridGumtree-bu_minsize-700-st_minprio-2-st_priocalc-size,HybridGumtree,37,null,37,0,0,0,0,0,189,0,0,,700,2,size,,,,,,
HybridGumtree-bu_minsize-700-st_minprio-3-st_priocalc-size,HybridGumtree,37,null,37,0,0,0,0,0,164,0,0,,700,3,size,,,,,,
HybridGumtree-bu_minsize-700-st_minprio-4-st_priocalc-size,HybridGumtree,37,null,37,0,0,0,0,0,190,0,0,,700,4,size,,,,,,
HybridGumtree-bu_minsize-700-st_minprio-5-st_priocalc-size,HybridGumtree,37,null,37,0,0,0,0,0,191,0,0,,700,5,size,,,,,,
