PLAIN_CONFIGURATION,MATCHER,NRACTIONS,NRROOTS,NR_INSERT,NR_DELETE,NR_UPDATE,NR_MOVE,NR_TREEINSERT,NR_TREEDELETE,TIME,NROPTIONS,TIMEOUT,bu_minsim,bu_minsize,st_minprio,st_priocalc,cd_labsim,cd_maxleaves,cd_structsim1,cd_structsim2,xy_minsim,
SimpleGumtree-st_minprio-1-st_priocalc-size,SimpleGumtree,6,null,0,0,6,0,0,0,27,0,0,,,1,size,,,,,,
SimpleGumtree-st_minprio-2-st_priocalc-size,SimpleGumtree,6,null,0,0,6,0,0,0,24,0,0,,,2,size,,,,,,
SimpleGumtree-st_minprio-3-st_priocalc-size,SimpleGumtree,6,null,0,0,6,0,0,0,24,0,0,,,3,size,,,,,,
SimpleGumtree-st_minprio-4-st_priocalc-size,SimpleGumtree,6,null,0,0,6,0,0,0,24,0,0,,,4,size,,,,,,
SimpleGumtree-st_minprio-5-st_priocalc-size,SimpleGumtree,6,null,0,0,6,0,0,0,22,0,0,,,5,size,,,,,,
SimpleGumtree-st_minprio-1-st_priocalc-height,SimpleGumtree,6,null,0,0,6,0,0,0,23,0,0,,,1,height,,,,,,
SimpleGumtree-st_minprio-2-st_priocalc-height,SimpleGumtree,6,null,0,0,6,0,0,0,23,0,0,,,2,height,,,,,,
SimpleGumtree-st_minprio-3-st_priocalc-height,SimpleGumtree,6,null,0,0,6,0,0,0,23,0,0,,,3,height,,,,,,
SimpleGumtree-st_minprio-4-st_priocalc-height,SimpleGumtree,6,null,0,0,6,0,0,0,23,0,0,,,4,height,,,,,,
SimpleGumtree-st_minprio-5-st_priocalc-height,SimpleGumtree,6,null,0,0,6,0,0,0,22,0,0,,,5,height,,,,,,
HybridGumtree-bu_minsize-100-st_minprio-1-st_priocalc-size,HybridGumtree,6,null,0,0,6,0,0,0,37,0,0,,100,1,size,,,,,,
HybridGumtree-bu_minsize-100-st_minprio-2-st_priocalc-size,HybridGumtree,6,null,0,0,6,0,0,0,33,0,0,,100,2,size,,,,,,
HybridGumtree-bu_minsize-100-st_minprio-3-st_priocalc-size,HybridGumtree,6,null,0,0,6,0,0,0,31,0,0,,100,3,size,,,,,,
HybridGumtree-bu_minsize-100-st_minprio-4-st_priocalc-size,HybridGumtree,6,null,0,0,6,0,0,0,31,0,0,,100,4,size,,,,,,
