PLAIN_CONFIGURATION,MATCHER,NRACTIONS,NRROOTS,NR_INSERT,NR_DELETE,NR_UPDATE,NR_MOVE,NR_TREEINSERT,NR_TREEDELETE,TIME,NROPTIONS,TIMEOUT,bu_minsim,bu_minsize,st_minprio,st_priocalc,cd_labsim,cd_maxleaves,cd_structsim1,cd_structsim2,xy_minsim,
SimpleGumtree-st_minprio-1-st_priocalc-size,SimpleGumtree,73,null,68,2,1,2,0,0,1,0,0,,,1,size,,,,,,
SimpleGumtree-st_minprio-2-st_priocalc-size,SimpleGumtree,74,null,69,3,2,0,0,0,1,0,0,,,2,size,,,,,,
SimpleGumtree-st_minprio-3-st_priocalc-size,SimpleGumtree,92,null,78,12,2,0,0,0,1,0,0,,,3,size,,,,,,
SimpleGumtree-st_minprio-4-st_priocalc-size,SimpleGumtree,92,null,78,12,2,0,0,0,1,0,0,,,4,size,,,,,,
SimpleGumtree-st_minprio-5-st_priocalc-size,SimpleGumtree,92,null,78,12,2,0,0,0,0,0,0,,,5,size,,,,,,
SimpleGumtree-st_minprio-1-st_priocalc-height,SimpleGumtree,74,null,69,3,2,0,0,0,1,0,0,,,1,height,,,,,,
SimpleGumtree-st_minprio-2-st_priocalc-height,SimpleGumtree,92,null,78,12,2,0,0,0,1,0,0,,,2,height,,,,,,
SimpleGumtree-st_minprio-3-st_priocalc-height,SimpleGumtree,118,null,91,25,2,0,0,0,1,0,0,,,3,height,,,,,,
SimpleGumtree-st_minprio-4-st_priocalc-height,SimpleGumtree,118,null,91,25,2,0,0,0,0,0,0,,,4,height,,,,,,
SimpleGumtree-st_minprio-5-st_priocalc-height,SimpleGumtree,118,null,91,25,2,0,0,0,0,0,0,,,5,height,,,,,,
HybridGumtree-bu_minsize-100-st_minprio-1-st_priocalc-size,HybridGumtree,70,null,66,0,2,2,0,0,18,0,0,,100,1,size,,,,,,
HybridGumtree-bu_minsize-100-st_minprio-2-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,18,0,0,,100,2,size,,,,,,
HybridGumtree-bu_minsize-100-st_minprio-3-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,11,0,0,,100,3,size,,,,,,
HybridGumtree-bu_minsize-100-st_minprio-4-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,10,0,0,,100,4,size,,,,,,
HybridGumtree-bu_minsize-100-st_minprio-5-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,10,0,0,,100,5,size,,,,,,
HybridGumtree-bu_minsize-200-st_minprio-1-st_priocalc-size,HybridGumtree,70,null,66,0,2,2,0,0,64,0,0,,200,1,size,,,,,,
HybridGumtree-bu_minsize-200-st_minprio-2-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,64,0,0,,200,2,size,,,,,,
HybridGumtree-bu_minsize-200-st_minprio-3-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,63,0,0,,200,3,size,,,,,,
HybridGumtree-bu_minsize-200-st_minprio-4-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,113,0,0,,200,4,size,,,,,,
HybridGumtree-bu_minsize-200-st_minprio-5-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,113,0,0,,200,5,size,,,,,,
HybridGumtree-bu_minsize-300-st_minprio-1-st_priocalc-size,HybridGumtree,70,null,66,0,2,2,0,0,64,0,0,,300,1,size,,,,,,
HybridGumtree-bu_minsize-300-st_minprio-2-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,64,0,0,,300,2,size,,,,,,
HybridGumtree-bu_minsize-300-st_minprio-3-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,64,0,0,,300,3,size,,,,,,
HybridGumtree-bu_minsize-300-st_minprio-4-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,114,0,0,,300,4,size,,,,,,
HybridGumtree-bu_minsize-300-st_minprio-5-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,113,0,0,,300,5,size,,,,,,
HybridGumtree-bu_minsize-400-st_minprio-1-st_priocalc-size,HybridGumtree,70,null,66,0,2,2,0,0,63,0,0,,400,1,size,,,,,,
HybridGumtree-bu_minsize-400-st_minprio-2-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,64,0,0,,400,2,size,,,,,,
HybridGumtree-bu_minsize-400-st_minprio-3-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,63,0,0,,400,3,size,,,,,,
HybridGumtree-bu_minsize-400-st_minprio-4-st_priocalc-size,HybridGumtree,71,null,67,1,3,0,0,0,61,0,0,,400,4,size,,,,,,
