PLAIN_CONFIGURATION,MATCHER,NRACTIONS,NRROOTS,NR_INSERT,NR_DELETE,NR_UPDATE,NR_MOVE,NR_TREEINSERT,NR_TREEDELETE,TIME,NROPTIONS,TIMEOUT,bu_minsim,bu_minsize,st_minprio,st_priocalc,cd_labsim,cd_maxleaves,cd_structsim1,cd_structsim2,xy_minsim,
HybridGumtree-bu_minsize-300-st_minprio-1-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,14,0,0,,300,1,size,,,,,,
HybridGumtree-bu_minsize-300-st_minprio-2-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,7,0,0,,300,2,size,,,,,,
HybridGumtree-bu_minsize-300-st_minprio-3-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,7,0,0,,300,3,size,,,,,,
HybridGumtree-bu_minsize-300-st_minprio-4-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,7,0,0,,300,4,size,,,,,,
HybridGumtree-bu_minsize-300-st_minprio-5-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,7,0,0,,300,5,size,,,,,,
HybridGumtree-bu_minsize-400-st_minprio-1-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,27,0,0,,400,1,size,,,,,,
HybridGumtree-bu_minsize-400-st_minprio-2-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,13,0,0,,400,2,size,,,,,,
HybridGumtree-bu_minsize-400-st_minprio-3-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,13,0,0,,400,3,size,,,,,,
HybridGumtree-bu_minsize-400-st_minprio-4-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,7,0,0,,400,4,size,,,,,,
HybridGumtree-bu_minsize-400-st_minprio-5-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,7,0,0,,400,5,size,,,,,,
HybridGumtree-bu_minsize-500-st_minprio-1-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,14,0,0,,500,1,size,,,,,,
HybridGumtree-bu_minsize-500-st_minprio-2-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,8,0,0,,500,2,size,,,,,,
HybridGumtree-bu_minsize-500-st_minprio-3-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,7,0,0,,500,3,size,,,,,,
HybridGumtree-bu_minsize-500-st_minprio-4-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,7,0,0,,500,4,size,,,,,,
HybridGumtree-bu_minsize-500-st_minprio-5-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,7,0,0,,500,5,size,,,,,,
HybridGumtree-bu_minsize-600-st_minprio-1-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,14,0,0,,600,1,size,,,,,,
HybridGumtree-bu_minsize-600-st_minprio-2-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,7,0,0,,600,2,size,,,,,,
HybridGumtree-bu_minsize-600-st_minprio-3-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,7,0,0,,600,3,size,,,,,,
HybridGumtree-bu_minsize-600-st_minprio-4-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,13,0,0,,600,4,size,,,,,,
HybridGumtree-bu_minsize-600-st_minprio-5-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,13,0,0,,600,5,size,,,,,,
HybridGumtree-bu_minsize-700-st_minprio-1-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,26,0,0,,700,1,size,,,,,,
HybridGumtree-bu_minsize-700-st_minprio-2-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,7,0,0,,700,2,size,,,,,,
HybridGumtree-bu_minsize-700-st_minprio-3-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,7,0,0,,700,3,size,,,,,,
HybridGumtree-bu_minsize-700-st_minprio-4-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,7,0,0,,700,4,size,,,,,,
